ds,y
2023-04-17,22
2023-04-18,25
2023-04-19,19
2023-04-20,19
2023-04-21,17
2023-04-22,28
2023-04-23,25
2023-04-24,22
2023-04-25,28
2023-04-26,24
2023-04-27,20
2023-04-28,18
2023-04-29,26
2023-04-30,26
2023-05-01,25
2023-05-02,25
2023-05-03,24
2023-05-04,23
2023-05-05,20
2023-05-06,26
2023-05-07,27
2023-05-08,29
2023-05-09,25
2023-05-10,23
2023-05-11,24
2023-05-12,23
2023-05-13,24
2023-05-14,31
2023-05-15,25
2023-05-16,27
2023-05-17,28
2023-05-18,25
2023-05-19,22
2023-05-20,30
2023-05-21,29
2023-05-22,29
2023-05-23,26
2023-05-24,28
2023-05-25,24
2023-05-26,27
2023-05-27,24
2023-05-28,30
2023-05-29,33
2023-05-30,28
2023-05-31,28
2023-06-01,27
2023-06-02,25
2023-06-03,27
2023-06-04,26
2023-06-05,34
2023-06-06,29
2023-06-07,23
2023-06-08,27
2023-06-09,26
2023-06-10,31
2023-06-11,31
2023-06-12,32
2023-06-13,30
2023-06-14,26
2023-06-15,27
2023-06-16,25
2023-06-17,34
2023-06-18,31
2023-06-19,30
2023-06-20,30
2023-06-21,30
2023-06-22,25
2023-06-23,28
2023-06-24,32
2023-06-25,36
2023-06-26,33
2023-06-27,30
2023-06-28,31
2023-06-29,30
2023-06-30,28
2023-07-01,28
2023-07-02,33
2023-07-03,29
2023-07-04,31
2023-07-05,31
2023-07-06,28
2023-07-07,29
2023-07-08,30
2023-07-09,34
2023-07-10,33
2023-07-11,31
2023-07-12,33
2023-07-13,27
2023-07-14,29
2023-07-15,29
2023-07-16,29
2023-07-17,32
2023-07-18,33
2023-07-19,29
2023-07-20,33
2023-07-21,29
2023-07-22,28
2023-07-23,30
2023-07-24,34
2023-07-25,33
2023-07-26,26
2023-07-27,27
2023-07-28,32
2023-07-29,32
2023-07-30,29
2023-07-31,33
2023-08-01,32
2023-08-02,30
2023-08-03,27
2023-08-04,27
2023-08-05,27
2023-08-06,30
2023-08-07,33
2023-08-08,29
2023-08-09,34
2023-08-10,28
2023-08-11,28
2023-08-12,27
2023-08-13,30
2023-08-14,33
2023-08-15,29
2023-08-16,26
2023-08-17,28
2023-08-18,28
2023-08-19,27
2023-08-20,29
2023-08-21,31
2023-08-22,30
2023-08-23,28
2023-08-24,25
2023-08-25,28
2023-08-26,26
2023-08-27,29
2023-08-28,31
2023-08-29,31
2023-08-30,26
2023-08-31,23
2023-09-01,23
2023-09-02,29
2023-09-03,29
2023-09-04,29
2023-09-05,23
2023-09-06,23
2023-09-07,22
2023-09-08,26
2023-09-09,30
2023-09-10,24
2023-09-11,25
2023-09-12,28
2023-09-13,29
2023-09-14,22
2023-09-15,18
2023-09-16,22
2023-09-17,26
2023-09-18,30
2023-09-19,24
2023-09-20,22
2023-09-21,20
2023-09-22,20
2023-09-23,27
2023-09-24,26
2023-09-25,28
2023-09-26,22
2023-09-27,21
2023-09-28,20
2023-09-29,19
2023-09-30,26
2023-10-01,25
2023-10-02,24
2023-10-03,24
2023-10-04,20
2023-10-05,19
2023-10-06,16
2023-10-07,21
2023-10-08,21
2023-10-09,26
2023-10-10,20
2023-10-11,22
2023-10-12,16
2023-10-13,20
2023-10-14,18
2023-10-15,20
2023-10-16,26
2023-10-17,21
2023-10-18,22
2023-10-19,13
2023-10-20,16
2023-10-21,18
2023-10-22,24
2023-10-23,25
2023-10-24,19
2023-10-25,21
2023-10-26,16
2023-10-27,15
2023-10-28,17
2023-10-29,16
2023-10-30,20
2023-10-31,21
2023-11-01,14
2023-11-02,14
2023-11-03,12
2023-11-04,16
2023-11-05,19
2023-11-06,20
2023-11-07,19
2023-11-08,15
2023-11-09,16
2023-11-10,11
2023-11-11,20
2023-11-12,14
2023-11-13,20
2023-11-14,18
2023-11-15,11
2023-11-16,13
2023-11-17,15
2023-11-18,20
2023-11-19,18
2023-11-20,16
2023-11-21,17
2023-11-22,16
2023-11-23,18
2023-11-24,10
2023-11-25,17
2023-11-26,18
2023-11-27,21
2023-11-28,17
2023-11-29,16
2023-11-30,9
2023-12-01,15
2023-12-02,16
2023-12-03,17
2023-12-04,14
2023-12-05,17
2023-12-06,15
2023-12-07,11
2023-12-08,12
2023-12-09,14
2023-12-10,20
2023-12-11,13
2023-12-12,15
2023-12-13,14
2023-12-14,12
2023-12-15,10
2023-12-16,10
2023-12-17,15
2023-12-18,19
2023-12-19,15
2023-12-20,11
2023-12-21,13
2023-12-22,12
2023-12-23,15
2023-12-24,13
2023-12-25,18
2023-12-26,16
2023-12-27,13
2023-12-28,5
2023-12-29,12
2023-12-30,15
2023-12-31,13
